TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Chad	14453	53.1	55.4	54.3	47.2	36	4.6	856	20	127.3	35.1	153	3.08	6138675	23.9	8.8	1.5	24.1	179	29	280.1	101	3.6	46	89	0	0.3	0.3	0	44	6.3	5	50.8	0.1	9.6	3.8
Chile	17910	76.5	82.4	79.5	69.7	1102	8.1	22	100	8.3	5.4	16	0.28	44	12.4	10.6	9.3	12.4	44.7	70	25.3	0.2	0.2	95	87	1	0.1	0	0	84	19.6	92	23.1	0.1	4.4	0.1
China	1411415	75	77.9	76.4	68.7	426	5.3	27	100	9.9	5.1	64	0.83	26375574	17	9.7	7.2	18.8	9.2	76	112.7	0.6	1.4	99	99	1.8	2.3	0.3	0.3	100	10.1	59	51	0.1	0.9	0.1
Colombia	48653	71.5	78.8	75.1	67.1	374	6.2	64	96	15.3	8.5	32	0.21	3761361	15.8	7.2	5.8	16.8	71.6	76	37	0.8	0.4	91	87	1.8	1.1	1	0.25	88	12.2	92	17.2	0.3	43.1	0.5
Comoros	796	62.3	65.5	63.9	56.6	59	8	335	82	73.3	32.8	35	1.96	527919	22.9	6.8	0.9	28	70	47	172.4	50.7	2.4	91	89	1.5	3	0.3	0.25	37	3.8	9	18.6	0.1	7.9	0
Congo	5126	63	65.6	64.3	56.7	59	3.4	442	91	54.1	20.5	378	4.11	2278289	16.7	5.9	7.8	26.4	147	38	130.7	38.7	1.2	80	89	0.1	0.9	0.3	0	31	3.1	24	36.4	0.1	10.2	0.4
Cook Islands	17	70.3	76.4	73.4	64.9	461	2.7	54	100	7.8	4.1	13	0.22	0	18.8	7.9	10.6	24.2	44.35	65	68.6	1.3	0.6	99	90	1.2	5.8	0.9	0.4	43	5.1	84	21.1	0.1	5.2	0.1
Costa Rica	4857	77	82.2	79.6	70.9	929	8.1	25	90	8.8	5.7	9.5	0.17	23769	11.5	7.9	4.8	13.9	44.35	75	23.3	0.9	0.3	97	87	1.1	0.8	0.1	0.2	87	18.8	93	16.7	0.1	10.2	0
Cote dIvoire	23696	53.6	55.7	54.6	48.3	75	5.4	645	74	91.8	36.6	153	3.04	16756532	29.1	14.5	8.4	24.2	129	44	269.1	47.2	3.9	85	89	0.1	0.5	0	0	87	5	18	23.9	0.1	12.1	0.1
Croatia	4213	75	81.5	78.3	69	852	7.4	8	100	4.7	2.9	12	0.11	9	16.7	16.5	8.9	9.2	9.6	69	35.5	0.1	0.2	93	96	3.1	6.5	0.9	0.7	71	11.7	93	17.6	0.1	1	0.1
Cuba	11476	76.8	81.3	79	69.9	826	10.9	39	100	5.5	2.4	6.9	0.12	43687	16.4	13.9	6.1	7.5	50	78	49.5	1	0.3	99	99	7.5	8	1.8	0.3	99	9.5	79	21.6	0.3	5.5	0.1
Cyprus	1170	78.4	83.1	80.7	73.3	1563	6.8	7	97	2.6	1.4	5.6	0.6	0	11.3	5.3	10.8	5.2	4.9	73	20.1	0.3	0.1	97	88	2.5	4.1	0.7	0.2	96	7.1	95	17.1	0	1.4	0.1
Czechia	10611	76.2	82.1	79.2	69.3	1284	7.3	4	100	3.2	1.6	5	0.39	4	15	13.1	14.4	6.1	11.6	73	29.6	0.2	0.3	96	93	3.7	8.4	0.8	0.7	94	14.3	95	15.6	0.1	0.8	0.1
Democratic Peoples Republic of Korea	25369	68.2	75.5	71.9	64.6	366	6.3	82	100	20	10.7	513	0.53	5214937	25.6	11.2	3.9	20.8	0.7	68	207.2	1.4	1.9	96	98	3.5	4.2	0.2	0.4	67	9.5	11	31	0.3	4.4	0.1
Democratic Republic of the Congo	78736	58.9	62	60.5	52.5	20	4.3	693	80	94.3	28.8	323	1.43	49900757	19.4	5.7	2.6	33.2	138	40	163.9	59.8	3.2	79	89	0.1	1	0	0	65	5	5	37.4	0.1	13.3	2.2
